Leading,Trailing,Mnemonic,Operand,,,Proposal,Comment
0x7A,,i64.ctz,,,,,
0x7B,,i64.popcnt,,,,,
0x7C,,i64.add,,,,,
0x7D,,i64.sub,,,,,
0x7E,,i64.mul,,,,,
0x7F,,i64.div_s,,,,,
0x80,,i64.div_u,,,,,
0x81,,i64.rem_s,,,,,
0x82,,i64.rem_u,,,,,
0x83,,i64.and,,,,,
0x84,,i64.or,,,,,
0x85,,i64.xor,,,,,
0x86,,i64.shl,,,,,
0x87,,i64.shr_s,,,,,
0x88,,i64.shr_u,,,,,
0x89,,i64.rotl,,,,,
0x8A,,i64.rotr,,,,,
0x8B,,f32.abs,,,,,
0x8C,,f32.neg,,,,,
0x8D,,f32.ceil,,,,,
0x8E,,f32.floor,,,,,
0x8F,,f32.trunc,,,,,
0x90,,f32.nearest,,,,,
0x91,,f32.sqrt,,,,,
0x92,,f32.add,,,,,
0x93,,f32.sub,,,,,
0x94,,f32.mul,,,,,
0x95,,f32.div,,,,,
0x96,,f32.min,,,,,
0x97,,f32.max,,,,,
0x98,,f32.copysign,,,,,
0x99,,f64.abs,,,,,
0x9A,,f64.neg,,,,,
0x9B,,f64.ceil,,,,,
0x9C,,f64.floor,,,,,
0x9D,,f64.trunc,,,,,
0x9E,,f64.nearest,,,,,
0x9F,,f64.sqrt,,,,,
0xA0,,f64.add,,,,,
0xA1,,f64.sub,,,,,
0xA2,,f64.mul,,,,,
0xA3,,f64.div,,,,,
0xA4,,f64.min,,,,,
0xA5,,f64.max,,,,,
0xA6,,f64.copysign,,,,,
0xA7,,i32.wrap_i64,,,,,
0xA8,,i32.trunc_f32_s,,,,,
0xA9,,i32.trunc_f32_u,,,,,
0xAA,,i32.trunc_f64_s,,,,,
0xAB,,i32.trunc_f64_u,,,,,
0xAC,,i64.extend_i32_s,,,,,
0xAD,,i64.extend_i32_u,,,,,
0xAE,,i64.trunc_f32_s,,,,,
0xAF,,i64.trunc_f32_u,,,,,
0xB0,,i64.trunc_f64_s,,,,,
0xB1,,i64.trunc_f64_u,,,,,
0xB2,,f32.convert_i32_s,,,,,
0xB3,,f32.convert_i32_u,,,,,
0xB4,,f32.convert_i64_s,,,,,
0xB5,,f32.convert_i64_u,,,,,
0xB6,,f32.demote_f64,,,,,
0xB7,,f64.convert_i32_s,,,,,
0xB8,,f64.convert_i32_u,,,,,
0xB9,,f64.convert_i64_s,,,,,
0xBA,,f64.convert_i64_u,,,,,
0xBB,,f64.promote_f32,,,,,
0xBC,,i32.reinterpret_f32,,,,,
0xBD,,i64.reinterpret_f64,,,,,
0xBE,,f32.reinterpret_i32,,,,,
0xBF,,f64.reinterpret_i64,,,,,
0xC0,,i32.extend8_s,,,,sign_extension,
0xC1,,i32.extend16_s,,,,sign_extension,
0xC2,,i64.extend8_s,,,,sign_extension,
0xC3,,i64.extend16_s,,,,sign_extension,
0xC4,,i64.extend32_s,,,,sign_extension,
0xC5,,,,,,,
0xC6,,,,,,,
0xC7,,,,,,,
0xC8,,,,,,,
0xC9,,,,,,,
0xCA,,,,,,,
0xCB,,,,,,,
0xCC,,,,,,,
0xCD,,,,,,,
0xCE,,,,,,,
0xCF,,,,,,,
0xD0,,ref.null,u32,,,reference_types,
0xD1,,ref.is_null,,,,reference_types,
0xD2,,ref.func,u32,,,reference_types,
0xD3,,ref.as_non_null,,,,typed_function_references,
0xD4,,br_on_null,,,,typed_function_references,
0xD5,,ref.eq,u32,,,typed_function_references,
0xD6,,br_on_non_null,u32,,,typed_function_references,
0xD7,,,,,,,
0xD8,,,,,,,
0xD9,,,,,,,
0xDA,,,,,,,
0xDB,,,,,,,
0xDC,,,,,,,
0xDD,,,,,,,
0xDE,,,,,,,
0xDF,,,,,,,
0xE0,,,,,,,
0xE1,,,,,,,
0xE2,,,,,,,
0xE3,,,,,,,
0xE4,,,,,,,
0xE5,,,,,,,
0xE6,,,,,,,
0xE7,,,,,,,
0xE8,,,,,,,
0xE9,,,,,,,
0xEA,,,,,,,
0xEB,,,,,,,
0xEC,,,,,,,
0xED,,,,,,,
0xEE,,,,,,,
0xEF,,,,,,,
0xF0,,,,,,,
0xF1,,,,,,,
0xF2,,,,,,,
0xF3,,,,,,,
0xF4,,,,,,,
0xF5,,,,,,,
0xF6,,,,,,,
0xF7,,,,,,,
0xF8,,,,,,,
0xF9,,,,,,,
0xFA,,,,,,,
0xFB,,,,,,,prefix (gc)
0xFC,,,,,,,prefix
0xFD,,,,,,,prefix (simd)
0xFE,,,,,,,prefix (threads)
0xFF,,,,,,,
,,,,,,,
0xFB,0x0,struct.new,u32,,,gc,
0xFB,0x1,struct.new_default,u32,,,gc,
0xFB,0x2,struct.get,u32,u32,,gc,
0xFB,0x3,struct.get_s,u32,u32,,gc,
0xFB,0x4,struct.get_u,u32,u32,,gc,
0xFB,0x5,struct.set,u32,u32,,gc,
0xFB,0x6,array.new,u32,,,gc,
0xFB,0x7,array.new_default,u32,,,gc,
0xFB,0x8,array.new_fixed,u32,u32,,gc,
0xFB,0x9,array.new_data,u32,u32,,gc,
0xFB,0xA,array.new_elem,u32,u32,,gc,
0xFB,0xB,array.get,u32,,,gc,
0xFB,0xC,array.get_s,u32,,,gc,
0xFB,0xD,array.get_u,u32,,,gc,
0xFB,0xE,array.set,u32,,,gc,
0xFB,0xF,array.len,,,,gc,
0xFB,0x10,array.fill,u32,,,gc,
0xFB,0x11,array.copy,u32,u32,,gc,
0xFB,0x12,array.init_data,u32,u32,,gc,
0xFB,0x13,array.init_elem,u32,u32,,gc,
0xFB,0x14,ref.test (ref ht),u32,,,gc,
0xFB,0x15,ref.test (ref null ht),u32,,,gc,
0xFB,0x16,ref.cast (ref ht),u32,,,gc,
0xFB,0x17,ref.cast (ref null ht),u32,,,gc,
0xFB,0x18,br_on_cast,u8,u32,ht ht,gc,
0xFB,0x19,br_on_cast_fail,u8,u32,ht ht,gc,
0xFB,0x1A,any.convert_extern,,,,gc,
0xFB,0x1B,extern.convert_any,,,,gc,
0xFB,0x1C,ref.i31,,,,gc,
0xFB,0x1D,i31.get_s,,,,gc,
0xFB,0x1E,i31.get_u,,,,gc,
0xFB,0x1F,,,,,,
,,,,,,,
0xFC,0x0,i32.trunc_sat_f32_s,,,,non_trapping_float_to_int_conversion,
0xFC,0x1,i32.trunc_sat_f32_u,,,,non_trapping_float_to_int_conversion,
0xFC,0x2,i32.trunc_sat_f64_s,,,,non_trapping_float_to_int_conversion,
0xFC,0x3,i32.trunc_sat_f64_u,,,,non_trapping_float_to_int_conversion,
0xFC,0x4,i64.trunc_sat_f32_s,,,,non_trapping_float_to_int_conversion,
0xFC,0x5,i64.trunc_sat_f32_u,,,,non_trapping_float_to_int_conversion,
0xFC,0x6,i64.trunc_sat_f64_s,,,,non_trapping_float_to_int_conversion,
0xFC,0x7,i64.trunc_sat_f64_u,,,,non_trapping_float_to_int_conversion,
0xFC,0x8,memory.init,u32,,,bulk_memory_operations,
0xFC,0x9,data.drop,u32,,,bulk_memory_operations,
0xFC,0xA,memory.copy,,,,bulk_memory_operations,
0xFC,0xB,memory.fill,,,,bulk_memory_operations,
0xFC,0xC,table.init,u32,u32,,bulk_memory_operations,
0xFC,0xD,elem.drop,u32,,,bulk_memory_operations,
0xFC,0xE,table.copy,u32,u32,,bulk_memory_operations,
0xFC,0xF,table.grow,u32,,,reference_types,
0xFC,0x10,table.size,u32,,,reference_types,
0xFC,0x11,table.fill,u32,,,reference_types,
,,,,,,,
